"";"ssec ";"tsec ";"sfree ";"tfree ";"finan ";"SES ";"man_finance ";"trust5 ";"med_act ";"micronarratives ";"mainstream "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.28***";" 1.00   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.86***";" 0.30***";" 1.00   ";"";"";"";"";"";"";"";""
"tfree";" 0.26** ";" 0.57***";" 0.28***";" 1.00   ";"";"";"";"";"";"";""
"finan";"-0.37***";"-0.40***";"-0.38***";"-0.28***";" 1.00   ";"";"";"";"";"";""
"SES";"-0.21*  ";"-0.39***";"-0.18*  ";"-0.28***";" 0.54***";" 1.00   ";"";"";"";"";""
"man_finance";" 0.22** ";" 0.02   ";" 0.16*  ";" 0.02   ";"-0.14   ";"-0.09   ";" 1.00   ";"";"";"";""
"trust5";"-0.17*  ";"-0.25** ";"-0.22** ";"-0.06   ";" 0.38***";" 0.25** ";" 0.16   ";" 1.00   ";"";"";""
"med_act";" 0.05   ";" 0.04   ";" 0.12   ";"-0.02   ";"-0.07   ";" 0.04   ";" 0.12   ";"-0.01   ";" 1.00   ";"";""
"micronarratives";"-0.07   ";" 0.09   ";"-0.06   ";" 0.11   ";" 0.03   ";" 0.01   ";" 0.05   ";"-0.12   ";" 0.01   ";" 1.00   ";""
"mainstream";"-0.15   ";"-0.06   ";"-0.22** ";"-0.03   ";" 0.31***";" 0.13   ";" 0.06   ";" 0.47***";"-0.04   ";" 0.33***";" 1.00   "
